SKU;;CATEGORÍA;MARCA;PRESENTACIÓN;COSTO;LISTA 1;NETO 1;MARGEN 1;LISTA 2;NETO 2;MARGEN 2;;;;;;;;
CON00452;;Consumibles;CleanCarrier;Caja;$1.540;$2.390;$2.008;23%;$2.350;$1.975;22%;;;;;;;;
CON00453;;Consumibles;CleanCarrier;Caja;$3.190;$4.900;$4.118;23%;$4.800;$4.034;21%;;;;;;;;
CON00454;;Consumibles;CleanCarrier;Caja;$3.190;$4.900;$4.118;23%;$4.800;$4.034;21%;;;;;;;;
CON00455;;Consumibles;CleanCarrier;Unidad;$310;$520;$437;29%;$520;$437;29%;;;;;;;;
CON00456;;Consumibles;CleanCarrier;Unidad;$310;$520;$437;29%;$520;$437;29%;;;;;;;;
CON00457;;Consumibles;CleanCarrier;Unidad;$310;$520;$437;29%;$520;$437;29%;;;;;;;;
CON00458;;Consumibles;CleanCarrier;Unidad;$550;$920;$773;29%;$920;$773;29%;;;;;;;;
CON00459;;Consumibles;CleanCarrier;Unidad;$550;$920;$773;29%;$920;$773;29%;;;;;;;;
CON00460;;Consumibles;CleanCarrier;Bolsa;$1.290;$2.150;$1.807;29%;$2.150;$1.807;29%;;;;;;;;
CON00461;;Consumibles;CleanCarrier;Bolsa;$1.290;$2.150;$1.807;29%;$2.150;$1.807;29%;;;;;;;;
CON00462;;Consumibles;CleanCarrier;Caja;$680;$1.140;$958;29%;$1.140;$958;29%;;;;;;;;
CON00463;;Consumibles;CleanCarrier;Caja;$580;$970;$815;29%;$970;$815;29%;;;;;;;;
CON00464;;Consumibles;CleanCarrier;Unidad;$470;$790;$664;29%;$790;$664;29%;;;;;;;;
CON00465;;Consumibles;CleanCarrier;Unidad;$470;$790;$664;29%;$790;$664;29%;;;;;;;;
CON00466;;Consumibles;CleanCarrier;Unidad;$470;$790;$664;29%;$790;$664;29%;;;;;;;;
CON00467;;Consumibles;CleanCarrier;Unidad;$800;$1.340;$1.126;29%;$1.340;$1.126;29%;;;;;;;;
CON00468;;Consumibles;CleanCarrier;Unidad;$140;$240;$202;31%;$240;$202;31%;;;;;;;;
CON00469;;Consumibles;CleanCarrier;Bolsa;$3.000;$5.000;$4.202;29%;$5.000;$4.202;29%;;;;;;;;
CON00470;;Consumibles;CleanCarrier;Bolsa;$3.150;$5.250;$4.412;29%;$5.250;$4.412;29%;;;;;;;;
CON00471;;Consumibles;CleanCarrier;Bolsa;$490;$820;$689;29%;$820;$689;29%;;;;;;;;
CON00472;;Consumibles;CleanCarrier;Bolsa;$700;$1.170;$983;29%;$1.170;$983;29%;;;;;;;;
CON00473;;Consumibles;CleanCarrier;Bolsa;$2.300;$3.840;$3.227;29%;$3.840;$3.227;29%;;;;;;;;
CON00474;;Consumibles;CleanCarrier;Unidad;$800;$1.340;$1.126;29%;$1.340;$1.126;29%;;;;;;;;
CON00475;;Consumibles;CleanCarrier;Unidad;$800;$1.340;$1.126;29%;$1.340;$1.126;29%;;;;;;;;
CON00476;;Consumibles;CleanCarrier;Caja;$2.700;$4.500;$3.782;29%;$4.500;$3.782;29%;;;;;;;;
CON00477;;Consumibles;CleanCarrier;Caja;$3.150;$5.250;$4.412;29%;$5.250;$4.412;29%;;;;;;;;
CON00478;;Consumibles;CleanCarrier;Caja;$1.640;$2.740;$2.303;29%;$2.740;$2.303;29%;;;;;;;;
CON00479;;Consumibles;CleanCarrier;Caja;$2.560;$4.270;$3.588;29%;$4.270;$3.588;29%;;;;;;;;
CON00480;;Consumibles;Cranberry;Unidad;$1.400;$2.500;$2.101;33%;$2.500;$2.101;33%;;;;;;;;
FGM0004;;OPERATORIA;FGM;Unidad;$17.839;$30.490;$25.622;30%;$27.500;$23.109;23%;;;;;;;;
FGM0005;;OPERATORIA;FGM;Unidad;$17.839;$30.490;$25.622;30%;$27.500;$23.109;23%;;;;;;;;
FGM0006;;OPERATORIA;FGM;Unidad;$19.610;$33.300;$27.983;30%;$29.900;$25.126;22%;;;;;;;;
FGM0007;;OPERATORIA;FGM;Unidad;$19.610;$33.900;$28.487;31%;$29.900;$25.126;22%;;;;;;;;
FGM0018;;OPERATORIA;FGM;Unidad;$17.066;$29.000;$24.370;30%;$26.500;$22.269;23%;;;;;;;;
FGM0003;;OPERATORIA;FGM;Unidad;$4.894;$8.320;$6.992;30%;$7.500;$6.303;22%;;;;;;;;
FGM0011;;BLANQUEAMIENTO;FGM;Unidad;$4.073;$6.900;$5.798;30%;$6.500;$5.462;25%;;;;;;;;
FGM0002;;OPERATORIA;FGM;Unidad;$5.973;$10.150;$8.529;30%;$8.990;$7.555;21%;;;;;;;;
FGM0008;;OPERATORIA;FGM;Unidad;$9.757;$16.580;$13.933;30%;$14.900;$12.521;22%;;;;;;;;
FGM0009;;OPERATORIA;FGM;Unidad;$9.757;$16.580;$13.933;30%;$14.900;$12.521;22%;;;;;;;;
FGM0010;;OPERATORIA;FGM;Unidad;$9.757;$16.580;$13.933;30%;$14.900;$12.521;22%;;;;;;;;
FGM0013;;OPERATORIA;FGM;Unidad;$12.478;$21.200;$17.815;30%;$19.300;$16.218;23%;;;;;;;;
FGM0014;;OPERATORIA;FGM;Unidad;$12.478;$21.200;$17.815;30%;$19.300;$16.218;23%;;;;;;;;
FGM0012;;OPERATORIA;FGM;Unidad;$5.699;$9.690;$8.143;30%;$8.900;$7.479;24%;;;;;;;;
FGM0017;;BLANQUEAMIENTO;FGM;Unidad;$14.265;$24.250;$20.378;30%;$22.000;$18.487;23%;;;;;;;;
FGM0019;;BLANQUEAMIENTO;FGM;Unidad;$16.052;$27.200;$22.857;30%;$25.000;$21.008;24%;;;;;;;;
FGM0020;;BLANQUEAMIENTO;FGM;Unidad;$37.274;$63.300;$53.193;30%;$59.000;$49.580;25%;;;;;;;;
FGM0021;;BLANQUEAMIENTO;FGM;Unidad;$14.265;$24.250;$20.378;30%;$21.900;$18.403;22%;;;;;;;;
FGM0015;;OPERATORIA;FGM;Unidad;$14.265;$24.250;$20.378;30%;$22.500;$18.908;25%;;;;;;;;
FGM0016;;OPERATORIA;FGM;Unidad;$15.359;$26.100;$21.933;30%;$23.900;$20.084;24%;;;;;;;;
FGM0022;;BLANQUEAMIENTO;FGM;Unidad;$6.247;$10.620;$8.924;30%;$9.500;$7.983;22%;;;;;;;;
